iter	Passed	Remaining
612	246357	1763081
613	246705	1762300
614	247049	1761479
615	247385	1760613
616	247871	1760810
617	248363	1761049
618	248751	1760548
619	249197	1760463
620	249559	1759775
621	249901	1758950
622	250278	1758376
623	250613	1757510
624	251061	1757427
625	251513	1757378
626	251860	1756594
627	252215	1755869
628	252544	1754964
629	252905	1754281
630	253434	1754760
631	253828	1754307
632	254239	1753973
633	254615	1753394
634	254963	1752624
635	255333	1752008
636	255719	1751496
637	256054	1750641
638	256450	1750204
639	256826	1749630
640	257188	1748959
641	257523	1748111
642	257859	1747267
643	258320	1747276
644	258789	1747332
645	259135	1746558
646	259580	1746451
647	259905	1745538
648	260248	1744744
649	260585	1743916
650	260973	1743430
651	261328	1742721
652	261669	1741923
653	261989	1740986
654	262470	1741121
655	262791	1740191
656	263134	1739413
657	263547	1739090
658	263997	1739016
659	264354	1738328
660	264694	1737531
661	265008	1736567
662	265456	1736480
663	265799	1735704
664	266161	1735049
665	266500	1734256
666	266841	1733467
667	267192	1732750
668	267610	1732467
669	267949	1731676
670	268380	1731475
671	268756	1730917
672	269240	1731061
673	269585	1730307
674	269913	1729445
675	270285	1728868
676	270609	1727980
677	270946	1727183
678	271360	1726875
679	271762	1726489
680	272101	1725704
681	272491	1725245
682	272824	1724426
683	273174	1723716
684	273588	1723404
685	273935	1722677
686	274521	1723452
687	274890	1722858
688	275234	1722110
689	275577	1721361
690	275930	1720672
691	276320	1720216
692	276672	1719522
693	276989	1718611
694	277395	1718255
695	277747	1717566
696	278059	1716629
697	278404	1715897
698	278774	1715319
699	279115	1714567
700	279608	1714744
701	279952	1714012
702	280389	1713844
703	280771	1713342
704	281092	1712473
705	281583	1712632
706	281945	1712010
707	282357	1711693
708	282704	1710982
709	283065	1710353
710	283494	1710137
711	283843	1709442
712	284181	1708675
713	284557	1708141
714	285045	1708277
715	285425	1707770
716	285796	1707206
717	286282	1707328
718	286824	1707782
719	287273	1707678
720	287779	1707914
721	288197	1707628
722	288604	1707275
723	288999	1706850
724	289318	1705979
725	289652	1705201
726	289989	1704438
727	290326	1703676
728	290812	1703785
729	291143	1702990
730	291492	1702301
731	291824	1701514
732	292166	1700782
733	292519	1700119
734	292929	1699790
735	293328	1699394
736	294057	1700904
737	294445	1700440
738	294832	1699975
739	295189	1699331
740	295563	1698792
741	295922	1698166
742	296969	1701481
743	297722	1703100
744	298363	1704077
745	299640	1708673
746	300440	1710537
747	301205	1712202
748	302067	1714402
749	302674	1715156
750	303233	1715632
751	303759	1715916
752	304417	1716947
753	305026	1717693
754	305493	1717644
755	306015	1717898
756	306612	1718567
757	307076	1718494
758	307407	1717672
759	307794	1717169
760	308131	1716384
761	308870	1717837
762	309375	1717984
763	309802	1717699
764	310345	1718058
765	310955	1718778
766	311333	1718222
767	311770	1717984
768	312164	1717511
769	312816	1718458
770	313346	1718731
771	313736	1718233
772	314126	1717739
773	314452	1716894
774	314824	1716302
775	315145	1715431
776	315497	1714732
777	315817	1713858
778	316194	1713296
779	316519	1712453
780	316845	1711613
781	317191	1710886
782	317527	1710107
783	317845	1709229
784	318320	1709198
785	318703	1708673
786	319016	1707771
787	319357	1707020
788	319679	1706172
789	319999	1705316
790	320305	1704383
791	320648	1703648
792	320985	1702883
793	321316	1702088
794	321714	1701647
795	322091	1701097
796	322419	1700285
797	322736	1699423
798	323195	1699302
799	323531	1698539
800	323862	1697750
801	324186	1696926
802	324530	1696205
803	324845	1695335
804	325170	1694523
805	325495	1693708
806	325812	1692852
807	326147	1692093
808	326493	1691388
809	326814	1690561
810	327131	1689709
811	327442	1688826
812	327900	1688709
813	328250	1688032
814	328573	1687215
815	328899	1686417
816	329242	1685704
817	329583	1684985
818	329933	1684312
819	330253	1683489
820	330590	1682747
821	330926	1682006
822	331297	1681447
823	331617	1680622
824	331997	1680110
825	332378	1679598
826	332874	1679666
827	333207	1678913
828	333606	1678495
829	333928	1677687
830	334255	1676910
831	334576	1676100
832	334903	1675319
833	335256	1674676
834	335627	1674119
835	335947	1673306
836	336347	1672898
837	336874	1673118
838	337332	1672991
839	337760	1672717
840	338227	1672639
841	338649	1672331
842	338959	1671478
843	339310	1670824
844	339671	1670220
845	339984	1669381
846	340307	1668590
847	340659	1667944
848	340979	1667142
849	341307	1666383
850	341655	1665719
851	341973	1664911
852	342303	1664162
853	342637	1663434
854	343107	1663371
855	343437	1662624
856	343760	1661844
857	344106	1661178
858	344432	1660413
859	344768	1659699
860	345115	1659040
861	345477	1658451
862	345821	1657778
863	346158	1657075
864	346485	1656321
865	346796	1655491
866	347116	1654710
867	347444	1653962
868	347905	1653854
869	348226	1653074
870	348555	1652335
871	348878	1651569
872	349238	1650983
873	349583	1650322
874	349911	1649584
875	350227	1648788
876	350561	1648076
877	350904	1647414
878	351246	1646744
879	351568	1645980
880	351893	1645232
881	352216	1644474
882	352820	1645029
883	353142	1644271
884	353476	1643567
885	353803	1642830
886	354122	1642059
887	354448	1641322
888	354770	1640562
889	355104	1639866
890	355489	1639403
891	355798	1638587
892	356172	1638073
893	356533	1637502
894	356854	1636744
895	357170	1635969
896	357666	1636013
897	357983	1635242
898	358314	1634537
899	358639	1633800
900	358968	1633087
901	359287	1632328
902	359620	1631634
903	359948	1630918
904	360264	1630149
905	360598	1629460
906	360930	1628763
907	361263	1628072
908	361588	1627345
909	361898	1626555
910	362384	1626551
911	362715	1625857
912	363036	1625114
913	363356	1624369
914	363711	1623783
915	364064	1623185
916	364409	1622554
917	364774	1622013
918	365090	1621256
919	365413	1620528
920	365734	1619793
921	366047	1619025
922	366377	1618331
923	366757	1617862
924	367215	1617732
925	367542	1617028
926	367862	1616294
927	368179	1615546
928	368501	1614820
929	368814	1614060
930	369149	1613393
931	369473	1612681
932	369795	1611961
933	370122	1611263
934	370495	1610762
935	370807	1610001
936	371165	1609441
937	371502	1608786
938	371981	1608752
939	372334	1608167
940	372690	1607600
941	373003	1606845
942	373329	1606148
943	373644	1605403
944	373965	1604688
945	374287	1603976
946	374629	1603350
947	374948	1602628
948	375273	1601932
949	375682	1601593
950	376019	1600951
951	376400	1600494
952	376851	1600335
953	377160	1599571
954	377517	1599014
955	377836	1598294
956	378159	1597595
957	378478	1596879
958	378787	1596120
959	379122	1595475
960	379440	1594755
961	379753	1594017
962	380059	1593250
963	380377	1592534
964	380745	1592030
965	381083	1591399
966	381555	1591328
967	381916	1590790
968	382250	1590147
969	382582	1589491
970	382886	1588722
971	383221	1588080
972	383559	1587454
973	383884	1586775
974	384212	1586107
975	384570	1585565
976	384916	1584972
977	385255	1584352
978	385583	1583688
979	385913	1583030
980	386376	1582922
981	386736	1582391
982	387059	1581705
983	387378	1581007
984	387731	1580449
985	388077	1579860
986	388425	1579281
987	388745	1578589
988	389069	1577914
989	389426	1577373
990	389792	1576871
991	390129	1576249
992	390497	1575754
993	390842	1575165
994	391315	1575093
995	391651	1574469
996	391984	1573834
997	392736	1574880
998	393161	1574615
999	393632	1574529
1000	394232	1574961
1001	394730	1574983
1002	395117	1574561
1003	395539	1574279
1004	395972	1574040
1005	396540	1574335
1006	396945	1573984
1007	397330	1573553
1008	397884	1573793
1009	398244	1573263
1010	398672	1573000
1011	399079	1572655
1012	399527	1572475
1013	400099	1572776
1014	400692	1573161
1015	401100	1572819
1016	401567	1572705
1017	401994	1572439
1018	402447	1572268
1019	402877	1572011
1020	403304	1571740
1021	403734	1571483
1022	404400	1572141
1023	404880	1572073
1024	405306	1571797
1025	405767	1571655
1026	406220	1571482
1027	406661	1571264
1028	407155	1571247
1029	407551	1570854
1030	407972	1570555
1031	408425	1570379
1032	408859	1570132
1033	409203	1569537
1034	409641	1569303
1035	410060	1568994
1036	410668	1569410
1037	411129	1569262
1038	411582	1569084
1039	412009	1568806
1040	412450	1568577
1041	412924	1568480
1042	413361	1568235
1043	413867	1568258
1044	414326	1568096
1045	414770	1567878
1046	415381	1568292
1047	415896	1568343
1048	416388	1568304
1049	416851	1568154
1050	417470	1568593
1051	417897	1568305
1052	418353	1568131
1053	418770	1567806
1054	419207	1567557
1055	419569	1567027
1056	419970	1566646
1057	420438	1566512
1058	420862	1566211
1059	421387	1566288
1060	421840	1566098
1061	422332	1566051
1062	422772	1565810
1063	423246	1565693
1064	423904	1566255
1065	424267	1565729
1066	424586	1565040
1067	424924	1564422
1068	425279	1563865
1069	425611	1563227
1070	425967	1562675
1071	426316	1562098
1072	426687	1561605
1073	427040	1561044
1074	427367	1560388
1075	427702	1559761
1076	428020	1559076
1077	428340	1558394
1078	428827	1558325
1079	429207	1557862
1080	429611	1557490
1081	429984	1557004
1082	430349	1556490
1083	430702	1555934
1084	431029	1555282
1085	431345	1554591
1086	431688	1553999
1087	432005	1553313
1088	432334	1552673
1089	432674	1552071
1090	432984	1551361
1091	433295	1550656
1092	433749	1550465
1093	434062	1549771
1094	434419	1549230
1095	434752	1548608
1096	435101	1548040
1097	435470	1547544
1098	435822	1546993
1099	436147	1546341
1100	436485	1545736
1101	436864	1545280
1102	437206	1544690
1103	437578	1544207
1104	437941	1543692
1105	438267	1543051
1106	438783	1543075
1107	439141	1542544
1108	439463	1541887
1109	439791	1541251
1110	440107	1540575
1111	440479	1540094
1112	440787	1539390
1113	441169	1538945
1114	441520	1538391
1115	441841	1537735
1116	442166	1537093
1117	442477	1536402
1118	442796	1535741
1119	443121	1535098
1120	443597	1534983
1121	443956	1534459
1122	444303	1533895
1123	444651	1533336
1124	444964	1532654
1125	445279	1531983
1126	445635	1531450
1127	445942	1530751
1128	446297	1530219
1129	446630	1529610
1130	446994	1529107
1131	447355	1528594
1132	447692	1528001
1133	448017	1527368
1134	448502	1527279
1135	448859	1526753
1136	449167	1526064
1137	449524	1525538
1138	449838	1524868
1139	450154	1524206
1140	450499	1523642
1141	450820	1523000
1142	451187	1522510
1143	451555	1522025
1144	451927	1521554
1145	452266	1520972
1146	452589	1520339
1147	452917	1519720
1148	453375	1519536
1149	453741	1519046
1150	454095	1518519
1151	454424	1517903
1152	454734	1517226
1153	455052	1516577
1154	455430	1516128
1155	455747	1515477
1156	456071	1514851
1157	456439	1514370
1158	456798	1513859
1159	457164	1513370
1160	457487	1512743
1161	457804	1512093
1162	458275	1511953
1163	458603	1511342
1164	458914	1510676
1165	459232	1510032
1166	459573	1509464
1167	459917	1508905
1168	460258	1508341
1169	460593	1507754
1170	461010	1507436
1171	461320	1506771
1172	461704	1506345
1173	462008	1505660
1174	462420	1505326
1175	462761	1504762
1176	463242	1504651
1177	463582	1504084
1178	463911	1503481
1179	464227	1502837
1180	464598	1502373
1181	464926	1501766
1182	465286	1501266
1183	465664	1500823
1184	466017	1500301
1185	466334	1499661
1186	466696	1499170
1187	467071	1498717
1188	467377	1498046
1189	467705	1497445
1190	468153	1497227
1191	468525	1496766
1192	468847	1496145
1193	469171	1495534
1194	469546	1495083
1195	469863	1494448
1196	470175	1493797
1197	470534	1493298
1198	470853	1492671
1199	471173	1492048
1200	471525	1491528
1201	471855	1490938
1202	472198	1490389
1203	472532	1489810
1204	472990	1489624
1205	473344	1489110
1206	473728	1488694
1207	474084	1488184
1208	474412	1487592
1209	474746	1487016
1210	475076	1486427
1211	475403	1485833
1212	475710	1485172
1213	476047	1484608
1214	476358	1483964
1215	476709	1483445
1216	477034	1482845
1217	477354	1482228
1218	477826	1482085
1219	478179	1481573
1220	478523	1481031
1221	478855	1480455
1222	479169	1479822
1223	479498	1479236
1224	479836	1478678
1225	480177	1478132
1226	480544	1477663
1227	480853	1477019
1228	481169	1476394
1229	481478	1475751
1230	481818	1475201
1231	482181	1474724
1232	482716	1474771
1233	483021	1474116
1234	483388	1473649
1235	483760	1473200
1236	484079	1472587
1237	484414	1472024
1238	484758	1471491
1239	485097	1470940
1240	485418	1470336
1241	485745	1469751
1242	486091	1469223
1243	486438	1468700
1244	486794	1468202
1245	487126	1467636
1246	487590	1467463
1247	487909	1466855
1248	488243	1466293
1249	488568	1465706
1250	488923	1465207
1251	489233	1464575
1252	489572	1464028
1253	489925	1463526
1254	490241	1462910
1255	490571	1462341
1256	490883	1461716
1257	491202	1461111
1258	491570	1460654
1259	491928	1460167
1260	492392	1459996
1261	492727	1459442
1262	493095	1458985
1263	493425	1458414
1264	493749	1457829
1265	494079	1457260
1266	494428	1456750
1267	494748	1456152
1268	495083	1455599
1269	495453	1455150
1270	495777	1454565
1271	496119	1454036
1272	496439	1453440
1273	496793	1452944
1274	497262	1452787
1275	497626	1452322
1276	497946	1451727
1277	498262	1451121
1278	498635	1450683
1279	499001	1450222
1280	499333	1449666
1281	499717	1449258
1282	500037	1448665
1283	500384	1448154
1284	500729	1447635
1285	501068	1447098
1286	501423	1446607
1287	501769	1446092
1288	502248	1445961
1289	502597	1445454
1290	502933	1444910
1291	503246	1444301
1292	503608	1443833
1293	503930	1443249
1294	504278	1442743
1295	504622	1442222
1296	504973	1441725
1297	505309	1441184
1298	505638	1440623
1299	505952	1440019
1300	506323	1439576
1301	506697	1439146
1302	507168	1438987
1303	507504	1438447
1304	507833	1437889
1305	508192	1437415
1306	508545	1436924
1307	508873	1436360
1308	509216	1435843
1309	509548	1435293
1310	509855	1434673
1311	510176	1434093
1312	510530	1433607
1313	510888	1433131
1314	511226	1432601
1315	511579	1432110
1316	512088	1432058
1317	512463	1431631
1318	512777	1431034
1319	513091	1430436
1320	513439	1429935
1321	513756	1429346
1322	514072	1428755
1323	514406	1428217
1324	514744	1427687
1325	515071	1427127
1326	515435	1426672
1327	515746	1426069
1328	516089	1425556
1329	516541	1425344
1330	517158	1425584
1331	517638	1425450
1332	517945	1424835
1333	518388	1424597
1334	518721	1424056
1335	519091	1423616
1336	519427	1423083
1337	519748	1422510
1338	520098	1422015
1339	520433	1421483
1340	520795	1421022
1341	521175	1420612
1342	521544	1420171
1343	521864	1419596
1344	522397	1419601
1345	522754	1419126
1346	523082	1418575
1347	523389	1417966
1348	523698	1417363
1349	524031	1416824
1350	524351	1416253
1351	524692	1415737
1352	525003	1415143
1353	525427	1414849
1354	525798	1414418
1355	526162	1413965
1356	526498	1413437
1357	526836	1412914
1358	527301	1412733
1359	527746	1412497
1360	528071	1411941
1361	528449	1411527
1362	528772	1410964
1363	529140	1410523
1364	529548	1410189
1365	529886	1409670
1366	530246	1409205
1367	530728	1409068
1368	531043	1408486
1369	531445	1408137
1370	531958	1408079
1371	532295	1407558
1372	532750	1407346
1373	533105	1406871
1374	533434	1406327
1375	533750	1405749
1376	534095	1405249
1377	534416	1404684
1378	534746	1404144
1379	535089	1403640
1380	535414	1403088
1381	535760	1402592
1382	536130	1402157
1383	536510	1401749
1384	536831	1401188
1385	537195	1400740
1386	537719	1400707
1387	538113	1400335
1388	538449	1399812
1389	538786	1399294
1390	539102	1398719
1391	539455	1398243
1392	539827	1397817
1393	540189	1397362
1394	540522	1396833
1395	540857	1396310
1396	541214	1395844
1397	541552	1395331
1398	541869	1394762
1399	542216	1394272
1400	542693	1394113
1401	543041	1393624
1402	543361	1393065
1403	543672	1392483
1404	543982	1391898
1405	544337	1391428
1406	544652	1390856
1407	545017	1390414
1408	545342	1389868
1409	545694	1389391
1410	546002	1388805
1411	546348	1388313
1412	546704	1387847
1413	547081	1387435
1414	547563	1387290
1415	547911	1386803
1416	548288	1386390
1417	548703	1386075
1418	549055	1385601
1419	549399	1385106
1420	549735	1384591
1421	550119	1384196
1422	550473	1383725
1423	550811	1383218
1424	551223	1382894
1425	551601	1382486
1426	551930	1381954
1427	552282	1381479
1428	552783	1381379
1429	553136	1380906
1430	553460	1380363
1431	553809	1379883
1432	554141	1379358
1433	554533	1378986
1434	554873	1378484
1435	555196	1377940
1436	555522	1377402
1437	555879	1376941
1438	556192	1376372
1439	556537	1375885
1440	556857	1375334
1441	557179	1374789
1442	557676	1374674
1443	558038	1374228
1444	558472	1373957
1445	558811	1373455
1446	559156	1372966
1447	559483	1372435
1448	559842	1371981
1449	560153	1371410
1450	560523	1370984
1451	560845	1370441
1452	561201	1369981
1453	561544	1369489
1454	561863	1368938
1455	562190	1368408
1456	562633	1368160
1457	562956	1367621
1458	563303	1367141
1459	563639	1366632
1460	563970	1366113
1461	564312	1365621
1462	564659	1365140
1463	565006	1364660
1464	565348	1364168
1465	565711	1363727
1466	566044	1363213
1467	566379	1362705
1468	566738	1362255
1469	567090	1361787
1470	567577	1361647
1471	567917	1361149
1472	568271	1360688
1473	568598	1360161
1474	568930	1359647
1475	569258	1359124
1476	569599	1358632
1477	569944	1358149
1478	570312	1357720
1479	570646	1357212
1480	570969	1356679
1481	571500	1356639
1482	571987	1356493
1483	572329	1356004
1484	572787	1355789
1485	573135	1355314
1486	573466	1354800
1487	573817	1354332
1488	574138	1353793
1489	574452	1353239
1490	574792	1352748
1491	575117	1352220
1492	575491	1351808
1493	575833	1351320
1494	576170	1350820
